Admin_Unit,avg_visits
ANTI,1.9095
CATO,1.4981
CHOH,1.4980
GWMP,1.5351
HAFE,1.5390
MANA,1.8622
MONO,1.8543
NACE,1.4298
PRWI,1.4852
ROCR,1.4844
WOTR,1.5039
