Common_Name,observations
"Blue-winged Warbler",1
"White-throated Sparrow",1
"Unidentified Warbler",1
"Chestnut-sided Warbler",1
"Chinese Pond-Heron",1
"Savannah Sparrow",1
"Northwestern Crow",1
"Red-headed Woodpecker",1
"Tennessee Warbler",1
"Nashville Warbler",1
